epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,192.786,1.59953,1.50876,0.95299,0.5519,0.75,0.69282,0.3552,1.67119,1.70348,1.08014,0.00045285,0.00045285,0.00045285
71,195.528,1.44646,1.39603,0.95116,0.5519,0.75,0.69282,0.3552,1.67119,1.70348,1.08014,0.000438703,0.000438703,0.000438703
72,198.243,1.46087,1.32557,0.93095,0.5519,0.75,0.69282,0.3552,1.67119,1.70348,1.08014,0.000424556,0.000424556,0.000424556
73,200.987,1.50451,1.37158,0.986,0.5519,0.75,0.69282,0.3552,1.67119,1.70348,1.08014,0.000410409,0.000410409,0.000410409
74,203.73,1.56466,1.47842,1.0741,0.77716,0.69243,0.77479,0.41553,1.67392,1.67382,1.07825,0.000396262,0.000396262,0.000396262
75,206.432,1.47539,1.32204,0.99629,0.77716,0.69243,0.77479,0.41553,1.67392,1.67382,1.07825,0.000382115,0.000382115,0.000382115
76,209.228,1.50509,1.38924,0.98221,0.77716,0.69243,0.77479,0.41553,1.67392,1.67382,1.07825,0.000367967,0.000367967,0.000367967
77,212.008,1.51654,1.34044,0.94211,0.77716,0.69243,0.77479,0.41553,1.67392,1.67382,1.07825,0.00035382,0.00035382,0.00035382
78,214.734,1.3939,1.38685,0.93722,0.82472,0.66536,0.77479,0.42497,1.64273,1.60025,1.06135,0.000339673,0.000339673,0.000339673
79,217.509,1.42496,1.39442,0.98717,0.82472,0.66536,0.77479,0.42497,1.64273,1.60025,1.06135,0.000325526,0.000325526,0.000325526
80,220.266,1.48742,1.38658,0.97065,0.82472,0.66536,0.77479,0.42497,1.64273,1.60025,1.06135,0.000311379,0.000311379,0.000311379
81,223.008,1.45828,1.33785,0.96198,0.82472,0.66536,0.77479,0.42497,1.64273,1.60025,1.06135,0.000297232,0.000297232,0.000297232
